"type","flavor","state","index type","index","year"
"traditional","all-transactions","Alaska","index_sa",NA,1999
"traditional","all-transactions","Alaska","index_nsa",696.96,2000
"traditional","all-transactions","Alaska","index_sa",NA,2000
"traditional","all-transactions","Alaska","index_nsa",731.95,2001
"traditional","all-transactions","Alaska","index_sa",NA,2001
"traditional","all-transactions","Alaska","index_nsa",771.83,2002
"traditional","all-transactions","Alaska","index_sa",NA,2002
"traditional","all-transactions","Alaska","index_nsa",809.96,2003
"traditional","all-transactions","Alaska","index_sa",NA,2003
"traditional","all-transactions","Alaska","index_nsa",891.39,2004
"traditional","all-transactions","Alaska","index_sa",NA,2004
"traditional","all-transactions","Alaska","index_nsa",1001.5,2005
"traditional","all-transactions","Alaska","index_sa",NA,2005
"traditional","all-transactions","Alaska","index_nsa",1099.92,2006
"traditional","all-transactions","Alaska","index_sa",NA,2006
"traditional","all-transactions","Alaska","index_nsa",1143.16,2007
"traditional","all-transactions","Alaska","index_sa",NA,2007
"traditional","all-transactions","Alaska","index_nsa",1138.34,2008
"traditional","all-transactions","Alaska","index_sa",NA,2008
"traditional","all-transactions","Alaska","index_nsa",1132.64,2009
"traditional","all-transactions","Alaska","index_sa",NA,2009
"traditional","all-transactions","Alaska","index_nsa",1126.21,2010
"traditional","all-transactions","Alaska","index_sa",NA,2010
"traditional","all-transactions","Alaska","index_nsa",1135.51,2011
"traditional","all-transactions","Alaska","index_sa",NA,2011
"traditional","all-transactions","Alaska","index_nsa",1140.63,2012
"traditional","all-transactions","Alaska","index_sa",NA,2012
"traditional","all-transactions","Alaska","index_nsa",1174.99,2013
"traditional","all-transactions","Alaska","index_sa",NA,2013
"traditional","all-transactions","Alaska","index_nsa",1198.87,2014
"traditional","all-transactions","Alaska","index_sa",NA,2014
"traditional","all-transactions","Alaska","index_nsa",1238.91,2015
"traditional","all-transactions","Alaska","index_sa",NA,2015
"traditional","all-transactions","Alaska","index_nsa",1262.97,2016
"traditional","all-transactions","Alaska","index_sa",NA,2016
"traditional","all-transactions","Alaska","index_nsa",1279.09,2017
"traditional","all-transactions","Alaska","index_sa",NA,2017
"traditional","all-transactions","Alaska","index_nsa",1291.59,2018
"traditional","all-transactions","Alaska","index_sa",NA,2018
"traditional","all-transactions","Alaska","index_nsa",1321.65,2019
"traditional","all-transactions","Alaska","index_sa",NA,2019
"traditional","all-transactions","Alaska","index_nsa",1365.7,2020
"traditional","all-transactions","Alaska","index_sa",NA,2020
"traditional","all-transactions","Alaska","index_nsa",1479.27,2021
"traditional","all-transactions","Alaska","index_sa",NA,2021
"traditional","all-transactions","Alaska","index_nsa",811.82,2022
"traditional","all-transactions","Alaska","index_sa",NA,2022
"traditional","expanded-data","Alaska","index_nsa",0,1975
"traditional","expanded-data","Alaska","index_sa",0,1975
"traditional","expanded-data","Alaska","index_nsa",0,1976
"traditional","expanded-data","Alaska","index_sa",0,1976
"traditional","expanded-data","Alaska","index_nsa",0,1977
"traditional","expanded-data","Alaska","index_sa",0,1977
"traditional","expanded-data","Alaska","index_nsa",0,1978
"traditional","expanded-data","Alaska","index_sa",0,1978
"traditional","expanded-data","Alaska","index_nsa",0,1979
"traditional","expanded-data","Alaska","index_sa",0,1979
"traditional","expanded-data","Alaska","index_nsa",0,1980
"traditional","expanded-data","Alaska","index_sa",0,1980
"traditional","expanded-data","Alaska","index_nsa",0,1981
"traditional","expanded-data","Alaska","index_sa",0,1981
"traditional","expanded-data","Alaska","index_nsa",0,1982
"traditional","expanded-data","Alaska","index_sa",0,1982
"traditional","expanded-data","Alaska","index_nsa",0,1983
"traditional","expanded-data","Alaska","index_sa",0,1983
"traditional","expanded-data","Alaska","index_nsa",0,1984
"traditional","expanded-data","Alaska","index_sa",0,1984
"traditional","expanded-data","Alaska","index_nsa",0,1985
"traditional","expanded-data","Alaska","index_sa",0,1985
"traditional","expanded-data","Alaska","index_nsa",0,1986
"traditional","expanded-data","Alaska","index_sa",0,1986
"traditional","expanded-data","Alaska","index_nsa",0,1987
"traditional","expanded-data","Alaska","index_sa",0,1987
"traditional","expanded-data","Alaska","index_nsa",0,1988
"traditional","expanded-data","Alaska","index_sa",0,1988
"traditional","expanded-data","Alaska","index_nsa",0,1989
"traditional","expanded-data","Alaska","index_sa",0,1989
"traditional","expanded-data","Alaska","index_nsa",0,1990
"traditional","expanded-data","Alaska","index_sa",0,1990
"traditional","expanded-data","Alaska","index_nsa",401.36,1991
"traditional","expanded-data","Alaska","index_sa",401.18,1991
"traditional","expanded-data","Alaska","index_nsa",413.61,1992
"traditional","expanded-data","Alaska","index_sa",413.46,1992
"traditional","expanded-data","Alaska","index_nsa",427.05,1993
"traditional","expanded-data","Alaska","index_sa",426.88,1993
"traditional","expanded-data","Alaska","index_nsa",450.66,1994
"traditional","expanded-data","Alaska","index_sa",450.44,1994
"traditional","expanded-data","Alaska","index_nsa",469.95,1995
"traditional","expanded-data","Alaska","index_sa",469.67,1995
"traditional","expanded-data","Alaska","index_nsa",491.05,1996
"traditional","expanded-data","Alaska","index_sa",490.73,1996
"traditional","expanded-data","Alaska","index_nsa",504.28,1997
"traditional","expanded-data","Alaska","index_sa",503.92,1997
"traditional","expanded-data","Alaska","index_nsa",525.87,1998
"traditional","expanded-data","Alaska","index_sa",525.46,1998
"traditional","expanded-data","Alaska","index_nsa",541.89,1999
"traditional","expanded-data","Alaska","index_sa",541.51,1999
"traditional","expanded-data","Alaska","index_nsa",560.47,2000
"traditional","expanded-data","Alaska","index_sa",560.1,2000
"traditional","expanded-data","Alaska","index_nsa",597.21,2001
"traditional","expanded-data","Alaska","index_sa",596.86,2001
"traditional","expanded-data","Alaska","index_nsa",636.65,2002
"traditional","expanded-data","Alaska","index_sa",636.22,2002
"traditional","expanded-data","Alaska","index_nsa",683.25,2003
"traditional","expanded-data","Alaska","index_sa",682.81,2003
"traditional","expanded-data","Alaska","index_nsa",742.6,2004
"traditional","expanded-data","Alaska","index_sa",742.03,2004
"traditional","expanded-data","Alaska","index_nsa",826.64,2005
"traditional","expanded-data","Alaska","index_sa",826.03,2005
"traditional","expanded-data","Alaska","index_nsa",894.96,2006
"traditional","expanded-data","Alaska","index_sa",894.21,2006
"traditional","expanded-data","Alaska","index_nsa",923.69,2007
"traditional","expanded-data","Alaska","index_sa",923.09,2007
"traditional","expanded-data","Alaska","index_nsa",909.47,2008
"traditional","expanded-data","Alaska","index_sa",908.83,2008
"traditional","expanded-data","Alaska","index_nsa",906.46,2009
"traditional","expanded-data","Alaska","index_sa",906.29,2009
"traditional","expanded-data","Alaska","index_nsa",903.13,2010
"traditional","expanded-data","Alaska","index_sa",902.72,2010
"traditional","expanded-data","Alaska","index_nsa",906.32,2011
"traditional","expanded-data","Alaska","index_sa",906.28,2011
"traditional","expanded-data","Alaska","index_nsa",916.23,2012
"traditional","expanded-data","Alaska","index_sa",915.89,2012
"traditional","expanded-data","Alaska","index_nsa",941.12,2013
"traditional","expanded-data","Alaska","index_sa",940.87,2013
"traditional","expanded-data","Alaska","index_nsa",964.75,2014
"traditional","expanded-data","Alaska","index_sa",964.3,2014
"traditional","expanded-data","Alaska","index_nsa",1000.81,2015
"traditional","expanded-data","Alaska","index_sa",1000.59,2015
"traditional","expanded-data","Alaska","index_nsa",1025.72,2016
"traditional","expanded-data","Alaska","index_sa",1025.44,2016
"traditional","expanded-data","Alaska","index_nsa",1030.38,2017
"traditional","expanded-data","Alaska","index_sa",1030.08,2017
